ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0106106	cold-induced thermogenesis	3/47	148/18614	0.00618408057855065	0.0226035288473427	0.0111607776986523	ADRB2/IGF1R/NPR3	3
BP	GO:0031018	endocrine pancreas development	2/47	47/18614	0.00627497447086283	0.0228227725007573	0.0112690320200959	WNT5A/BMP4	2
BP	GO:0061383	trabecula morphogenesis	2/47	47/18614	0.00627497447086283	0.0228227725007573	0.0112690320200959	TEK/TGFBR3	2
BP	GO:0140353	lipid export from cell	2/47	47/18614	0.00627497447086283	0.0228227725007573	0.0112690320200959	INHBA/GAL	2
BP	GO:1903038	negative regulation of leukocyte cell-cell adhesion	3/47	150/18614	0.00641739896482819	0.0233025224706466	0.0115059146237386	MDK/BMP4/TNFSF4	3
BP	GO:0045834	positive regulation of lipid metabolic process	3/47	151/18614	0.00653600916425019	0.0236604094456031	0.0116826258353245	TEK/IGF1R/FGFR3	3
BP	GO:0042311	vasodilation	2/47	48/18614	0.00653732306126822	0.0236604094456031	0.0116826258353245	ADRB2/NPR3	2
BP	GO:0030183	B cell differentiation	3/47	153/18614	0.00677715008550961	0.0244678541384319	0.012081311844995	INHBA/CD40LG/VCAM1	3
BP	GO:0043114	regulation of vascular permeability	2/47	49/18614	0.00680460413059777	0.0244678541384319	0.012081311844995	TEK/SLIT2	2
BP	GO:0060043	regulation of cardiac muscle cell proliferation	2/47	49/18614	0.00680460413059777	0.0244678541384319	0.012081311844995	FGFR2/TGFBR3	2
BP	GO:0140895	cell surface toll-like receptor signaling pathway	2/47	49/18614	0.00680460413059777	0.0244678541384319	0.012081311844995	TLR1/CD14	2
BP	GO:0002449	lymphocyte mediated immunity	4/47	300/18614	0.00684398628582326	0.0245037121924214	0.012099017211798	IL1R1/C5/CD40LG/TNFSF4	4
BP	GO:0045089	positive regulation of innate immune response	4/47	300/18614	0.00684398628582326	0.0245037121924214	0.012099017211798	WNT5A/EREG/TLR1/CD14	4
BP	GO:0031667	response to nutrient levels	5/47	477/18614	0.00684776426506043	0.0245037121924214	0.012099017211798	ADRB2/IGF1R/HMOX1/VCAM1/PENK	5
BP	GO:0035148	tube formation	3/47	154/18614	0.00689968805889174	0.0246496920168471	0.0121710965928498	FGFR2/WNT5A/BMP4	3
BP	GO:0050770	regulation of axonogenesis	3/47	155/18614	0.00702354245778481	0.0250517657713258	0.0123696255846062	SLIT2/WNT5A/PLXND1	3
BP	GO:0002066	columnar/cuboidal epithelial cell development	2/47	50/18614	0.0070767921914596	0.0251606656566341	0.0124233962776489	WNT5A/BMP4	2
BP	GO:0045776	negative regulation of blood pressure	2/47	50/18614	0.0070767921914596	0.0251606656566341	0.0124233962776489	ADRB2/VEGFC	2
BP	GO:0048872	homeostasis of number of cells	4/47	304/18614	0.00716567563953865	0.0254358518294521	0.0125592729242251	INHBA/TGFBR3/BMP4/HMOX1	4
BP	GO:0032964	collagen biosynthetic process	2/47	51/18614	0.00735386184894348	0.0259789537406855	0.0128274363486146	INHBA/BMP4	2
BP	GO:0045761	regulation of adenylate cyclase activity	2/47	51/18614	0.00735386184894348	0.0259789537406855	0.0128274363486146	ADRB2/NPR3	2
BP	GO:0061082	myeloid leukocyte cytokine production	2/47	51/18614	0.00735386184894348	0.0259789537406855	0.0128274363486146	WNT5A/HMOX1	2
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	3/47	159/18614	0.00753219356681746	0.0265665744434724	0.013117581488306	WNT5A/CX3CL1/CD40LG	3
BP	GO:0021872	forebrain generation of neurons	2/47	52/18614	0.00763578780033238	0.0268039143862698	0.0132347710810665	INHBA/FGFR2	2
BP	GO:0031103	axon regeneration	2/47	52/18614	0.00763578780033238	0.0268039143862698	0.0132347710810665	PTN/IGF1R	2
BP	GO:0046622	positive regulation of organ growth	2/47	52/18614	0.00763578780033238	0.0268039143862698	0.0132347710810665	FGFR2/TGFBR3	2
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/47	311/18614	0.00775249296932014	0.0271705252010192	0.0134157897986736	IL1R1/C5/CD40LG/TNFSF4	4
BP	GO:0090066	regulation of anatomical structure size	5/47	492/18614	0.0077783671678405	0.0271887110486416	0.0134247692905019	ELN/SLIT2/WNT5A/ADRB2/NPR3	5
BP	GO:0051147	regulation of muscle cell differentiation	3/47	161/18614	0.0077945063277144	0.0271887110486416	0.0134247692905019	FGFR2/EREG/BMP4	3
BP	GO:1990845	adaptive thermogenesis	3/47	161/18614	0.0077945063277144	0.0271887110486416	0.0134247692905019	ADRB2/IGF1R/NPR3	3
BP	GO:0009948	anterior/posterior axis specification	2/47	53/18614	0.00792254483481476	0.0275485664193323	0.0136024524223292	WNT5A/BMP4	2
BP	GO:2000648	positive regulation of stem cell proliferation	2/47	53/18614	0.00792254483481476	0.0275485664193323	0.0136024524223292	WNT5A/VEGFC	2
BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	CD40LG/TNFSF4	2
BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	CD40LG/TNFSF4	2
BP	GO:0032330	regulation of chondrocyte differentiation	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	MDK/BMP4	2
BP	GO:0043303	mast cell degranulation	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	HMOX1/PTGDS	2
BP	GO:0043550	regulation of lipid kinase activity	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	TEK/FGFR3	2
BP	GO:0045190	isotype switching	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	CD40LG/TNFSF4	2
BP	GO:0071385	cellular response to glucocorticoid stimulus	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	IGF1R/MSTN	2
BP	GO:1902743	regulation of lamellipodium organization	2/47	54/18614	0.00821410783319764	0.028208137752764	0.0139281240941532	SLIT2/MSTN	2
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	3/47	165/18614	0.00833523546846779	0.0285797934406442	0.0141116337815513	IL1R1/SLIT2/WNT5A	3
BP	GO:0007281	germ cell development	4/47	319/18614	0.00846106854847939	0.0289120408976682	0.0142756851575038	PTN/MDK/EREG/BMP4	4
BP	GO:1902105	regulation of leukocyte differentiation	4/47	319/18614	0.00846106854847939	0.0289120408976682	0.0142756851575038	INHBA/MDK/BMP4/TNFSF4	4
BP	GO:0070665	positive regulation of leukocyte proliferation	3/47	166/18614	0.00847379074538712	0.0289120408976682	0.0142756851575038	CD40LG/TNFSF4/VCAM1	3
BP	GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	2/47	55/18614	0.00851045176762063	0.0289120408976682	0.0142756851575038	BMP4/HMOX1	2
BP	GO:0003229	ventricular cardiac muscle tissue development	2/47	55/18614	0.00851045176762063	0.0289120408976682	0.0142756851575038	FGFR2/TGFBR3	2
BP	GO:0010518	positive regulation of phospholipase activity	2/47	55/18614	0.00851045176762063	0.0289120408976682	0.0142756851575038	FGFR2/FGFR3	2
BP	GO:0046661	male sex differentiation	3/47	168/18614	0.0087549698280267	0.0296619863500217	0.0146459801913615	PDGFA/INHBA/WNT5A	3
BP	GO:0001954	positive regulation of cell-matrix adhesion	2/47	56/18614	0.00881155170127055	0.0296619863500217	0.0146459801913615	TEK/CX3CL1	2
BP	GO:0002279	mast cell activation involved in immune response	2/47	56/18614	0.00881155170127055	0.0296619863500217	0.0146459801913615	HMOX1/PTGDS	2
BP	GO:0002752	cell surface pattern recognition receptor signaling pathway	2/47	56/18614	0.00881155170127055	0.0296619863500217	0.0146459801913615	TLR1/CD14	2
BP	GO:0060986	endocrine hormone secretion	2/47	56/18614	0.00881155170127055	0.0296619863500217	0.0146459801913615	INHBA/GAL	2
BP	GO:0070231	T cell apoptotic process	2/47	56/18614	0.00881155170127055	0.0296619863500217	0.0146459801913615	WNT5A/BMP4	2
BP	GO:0001541	ovarian follicle development	2/47	57/18614	0.00911738278809712	0.0305060466399322	0.0150627456142994	INHBA/EREG	2
BP	GO:0002448	mast cell mediated immunity	2/47	57/18614	0.00911738278809712	0.0305060466399322	0.0150627456142994	HMOX1/PTGDS	2
BP	GO:0002931	response to ischemia	2/47	57/18614	0.00911738278809712	0.0305060466399322	0.0150627456142994	CX3CL1/NPR3	2
BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	2/47	57/18614	0.00911738278809712	0.0305060466399322	0.0150627456142994	MDK/VCAM1	2
BP	GO:0002833	positive regulation of response to biotic stimulus	4/47	327/18614	0.0092110299367752	0.0307265531776462	0.0151716235008076	WNT5A/EREG/TLR1/CD14	4
BP	GO:0071496	cellular response to external stimulus	4/47	327/18614	0.0092110299367752	0.0307265531776462	0.0151716235008076	IGF1R/HMOX1/VCAM1/PENK	4
BP	GO:0010718	positive regulation of epithelial to mesenchymal transition	2/47	58/18614	0.00942792027252928	0.0313086108000785	0.0154590217993497	MDK/BMP4	2
BP	GO:0030225	macrophage differentiation	2/47	58/18614	0.00942792027252928	0.0313086108000785	0.0154590217993497	INHBA/BMP4	2
BP	GO:0042733	embryonic digit morphogenesis	2/47	58/18614	0.00942792027252928	0.0313086108000785	0.0154590217993497	WNT5A/BMP4	2
BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	2/47	59/18614	0.00974313948919232	0.032114663643692	0.0158570205659004	IL1R1/WNT5A	2
BP	GO:0031102	neuron projection regeneration	2/47	59/18614	0.00974313948919232	0.032114663643692	0.0158570205659004	PTN/IGF1R	2
BP	GO:0051785	positive regulation of nuclear division	2/47	59/18614	0.00974313948919232	0.032114663643692	0.0158570205659004	WNT5A/EREG	2
BP	GO:0070228	regulation of lymphocyte apoptotic process	2/47	59/18614	0.00974313948919232	0.032114663643692	0.0158570205659004	WNT5A/BMP4	2
BP	GO:2000351	regulation of endothelial cell apoptotic process	2/47	59/18614	0.00974313948919232	0.032114663643692	0.0158570205659004	TEK/CD40LG	2
BP	GO:0034767	positive regulation of monoatomic ion transmembrane transport	3/47	175/18614	0.00978211313594695	0.0321952163389636	0.0158967944760286	GAL/CX3CL1/ADRB2	3
BP	GO:0051099	positive regulation of binding	3/47	176/18614	0.00993434634004501	0.0326477405685456	0.0161202340267168	WNT5A/PLXND1/BMP4	3
BP	GO:0002011	morphogenesis of an epithelial sheet	2/47	60/18614	0.0100630158626259	0.0329084471071474	0.0162489611711185	WNT5A/HBEGF	2
BP	GO:0060350	endochondral bone morphogenesis	2/47	60/18614	0.0100630158626259	0.0329084471071474	0.0162489611711185	BMP4/FGFR3	2
BP	GO:0010469	regulation of signaling receptor activity	3/47	177/18614	0.0100879618897305	0.0329084471071474	0.0162489611711185	EREG/ADRB2/HBEGF	3
BP	GO:0021953	central nervous system neuron differentiation	3/47	177/18614	0.0100879618897305	0.0329084471071474	0.0162489611711185	INHBA/FGFR2/SLIT2	3
BP	GO:0060759	regulation of response to cytokine stimulus	3/47	177/18614	0.0100879618897305	0.0329084471071474	0.0162489611711185	IL1R1/SLIT2/WNT5A	3
BP	GO:0031279	regulation of cyclase activity	2/47	61/18614	0.010387524907003	0.0337255635633541	0.016652422736046	ADRB2/NPR3	2
BP	GO:0060038	cardiac muscle cell proliferation	2/47	61/18614	0.010387524907003	0.0337255635633541	0.016652422736046	FGFR2/TGFBR3	2
BP	GO:0001659	temperature homeostasis	3/47	179/18614	0.0103993498482035	0.0337255635633541	0.016652422736046	ADRB2/IGF1R/NPR3	3
BP	GO:0043534	blood vessel endothelial cell migration	3/47	179/18614	0.0103993498482035	0.0337255635633541	0.016652422736046	SLIT2/HMOX1/VEGFC	3
BP	GO:0045580	regulation of T cell differentiation	3/47	180/18614	0.0105571270583337	0.0341871877693117	0.0168803555149411	MDK/BMP4/TNFSF4	3
BP	GO:0016447	somatic recombination of immunoglobulin gene segments	2/47	62/18614	0.0107166422258492	0.0346025692860876	0.0170854553823191	CD40LG/TNFSF4	2
BP	GO:0043030	regulation of macrophage activation	2/47	62/18614	0.0107166422258492	0.0346025692860876	0.0170854553823191	WNT5A/CX3CL1	2
BP	GO:0048736	appendage development	3/47	182/18614	0.0108768596168547	0.0350177965862399	0.0172904791032925	FGFR2/WNT5A/BMP4	3
BP	GO:0060173	limb development	3/47	182/18614	0.0108768596168547	0.0350177965862399	0.0172904791032925	FGFR2/WNT5A/BMP4	3
BP	GO:0021543	pallium development	3/47	184/18614	0.0112021780911257	0.0360128076514417	0.0177817783770217	SLIT2/MDK/IGF1R	3
BP	GO:0048247	lymphocyte chemotaxis	2/47	64/18614	0.0113886045461384	0.0364534090602553	0.0179993308844506	WNT5A/CX3CL1	2
BP	GO:0071300	cellular response to retinoic acid	2/47	64/18614	0.0113886045461384	0.0364534090602553	0.0179993308844506	FGFR2/WNT5A	2
BP	GO:0071384	cellular response to corticosteroid stimulus	2/47	64/18614	0.0113886045461384	0.0364534090602553	0.0179993308844506	IGF1R/MSTN	2
BP	GO:0050728	negative regulation of inflammatory response	3/47	187/18614	0.011700667444894	0.0373348472062186	0.0184345520956451	TEK/MDK/CX3CL1	3
BP	GO:0031663	lipopolysaccharide-mediated signaling pathway	2/47	65/18614	0.011731401198884	0.0373348472062186	0.0184345520956451	CX3CL1/CD14	2
BP	GO:0051339	regulation of lyase activity	2/47	65/18614	0.011731401198884	0.0373348472062186	0.0184345520956451	ADRB2/NPR3	2
BP	GO:0072577	endothelial cell apoptotic process	2/47	65/18614	0.011731401198884	0.0373348472062186	0.0184345520956451	TEK/CD40LG	2
BP	GO:0045787	positive regulation of cell cycle	4/47	354/18614	0.012059818090318	0.0381115974121785	0.0188180823149595	FGFR2/WNT5A/EREG/IGF1R	4
BP	GO:0010517	regulation of phospholipase activity	2/47	66/18614	0.0120787094281487	0.0381115974121785	0.0188180823149595	FGFR2/FGFR3	2
BP	GO:0031100	animal organ regeneration	2/47	66/18614	0.0120787094281487	0.0381115974121785	0.0188180823149595	TGFBR3/HMOX1	2
BP	GO:0032613	interleukin-10 production	2/47	66/18614	0.0120787094281487	0.0381115974121785	0.0188180823149595	CD40LG/TNFSF4	2
BP	GO:0032653	regulation of interleukin-10 production	2/47	66/18614	0.0120787094281487	0.0381115974121785	0.0188180823149595	CD40LG/TNFSF4	2
BP	GO:0060760	positive regulation of response to cytokine stimulus	2/47	66/18614	0.0120787094281487	0.0381115974121785	0.0188180823149595	IL1R1/WNT5A	2
BP	GO:0051495	positive regulation of cytoskeleton organization	3/47	190/18614	0.012211820422559	0.038476788386868	0.018998399968614	TEK/CX3CL1/NTF3	3
BP	GO:0030308	negative regulation of cell growth	3/47	191/18614	0.0123850281046007	0.0388892220272548	0.019202044284813	INHBA/SLIT2/WNT5A	3
BP	GO:0038034	signal transduction in absence of ligand	2/47	67/18614	0.0124305052800435	0.0388892220272548	0.019202044284813	INHBA/CX3CL1	2
BP	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	2/47	67/18614	0.0124305052800435	0.0388892220272548	0.019202044284813	CRLF1/FGFR3	2
BP	GO:0060193	positive regulation of lipase activity	2/47	67/18614	0.0124305052800435	0.0388892220272548	0.019202044284813	FGFR2/FGFR3	2
BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	2/47	67/18614	0.0124305052800435	0.0388892220272548	0.019202044284813	INHBA/CX3CL1	2
BP	GO:0031589	cell-substrate adhesion	4/47	359/18614	0.0126429554744209	0.0394980907980851	0.0195026809263208	TEK/MDK/CX3CL1/VCAM1	4
BP	GO:0032872	regulation of stress-activated MAPK cascade	3/47	193/18614	0.0127356897988759	0.0397232597864413	0.0196138609566889	WNT5A/BMP4/IGF1R	3
BP	GO:0016445	somatic diversification of immunoglobulins	2/47	68/18614	0.0127867648883669	0.0397232597864413	0.0196138609566889	CD40LG/TNFSF4	2
BP	GO:0055021	regulation of cardiac muscle tissue growth	2/47	68/18614	0.0127867648883669	0.0397232597864413	0.0196138609566889	FGFR2/TGFBR3	2
BP	GO:0061180	mammary gland epithelium development	2/47	68/18614	0.0127867648883669	0.0397232597864413	0.0196138609566889	FGFR2/WNT5A	2
BP	GO:0002711	positive regulation of T cell mediated immunity	2/47	69/18614	0.0131474644743292	0.040672672919887	0.0200826456760188	IL1R1/TNFSF4	2
BP	GO:0032835	glomerulus development	2/47	69/18614	0.0131474644743292	0.040672672919887	0.0200826456760188	TEK/BMP4	2
BP	GO:0045576	mast cell activation	2/47	69/18614	0.0131474644743292	0.040672672919887	0.0200826456760188	HMOX1/PTGDS	2
BP	GO:0043087	regulation of GTPase activity	4/47	364/18614	0.0132439522069693	0.0409140225082802	0.0202018150819072	WNT5A/PLXND1/CX3CL1/NTF3	4
BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	3/47	196/18614	0.0132723250369359	0.0409445681849764	0.020216897395362	WNT5A/BMP4/IGF1R	3
BP	GO:0009880	embryonic pattern specification	2/47	70/18614	0.0135125803462788	0.0416277683824862	0.0205542361170978	FGFR2/WNT5A	2
BP	GO:0002548	monocyte chemotaxis	2/47	71/18614	0.0138820888994291	0.0425294978039219	0.0209994764016989	SLIT2/CX3CL1	2
BP	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	2/47	71/18614	0.0138820888994291	0.0425294978039219	0.0209994764016989	CD40LG/TNFSF4	2
BP	GO:0003208	cardiac ventricle morphogenesis	2/47	71/18614	0.0138820888994291	0.0425294978039219	0.0209994764016989	FGFR2/TGFBR3	2
BP	GO:0016444	somatic cell DNA recombination	2/47	71/18614	0.0138820888994291	0.0425294978039219	0.0209994764016989	CD40LG/TNFSF4	2
BP	GO:0001818	negative regulation of cytokine production	4/47	371/18614	0.0141157055452797	0.0431854803629757	0.0213233760708717	INHBA/CX3CL1/TNFSF4/HMOX1	4
BP	GO:1904888	cranial skeletal system development	2/47	72/18614	0.0142559666155857	0.0435544359358929	0.0215055525424226	FGFR2/BMP4	2
BP	GO:0045088	regulation of innate immune response	4/47	373/18614	0.0143713438896566	0.0438464555311148	0.0216497409038034	WNT5A/EREG/TLR1/CD14	4
BP	GO:0030032	lamellipodium assembly	2/47	73/18614	0.0146341900628747	0.0445869752259525	0.0220153818509039	SLIT2/MSTN	2
BP	GO:0022408	negative regulation of cell-cell adhesion	3/47	205/18614	0.0149592720671943	0.0455021477544049	0.0224672598392903	MDK/BMP4/TNFSF4	3
BP	GO:0035924	cellular response to vascular endothelial growth factor stimulus	2/47	74/18614	0.0150167358954718	0.0455021477544049	0.0224672598392903	VEGFC/VCAM1	2
BP	GO:0045661	regulation of myoblast differentiation	2/47	74/18614	0.0150167358954718	0.0455021477544049	0.0224672598392903	BMP4/MSTN	2
BP	GO:0060420	regulation of heart growth	2/47	74/18614	0.0150167358954718	0.0455021477544049	0.0224672598392903	FGFR2/TGFBR3	2
BP	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	2/47	75/18614	0.0154035808533321	0.0463572440083296	0.0228894744087701	CD40LG/TNFSF4	2
BP	GO:0016239	positive regulation of macroautophagy	2/47	75/18614	0.0154035808533321	0.0463572440083296	0.0228894744087701	ADRB2/HMOX1	2
BP	GO:0042058	regulation of epidermal growth factor receptor signaling pathway	2/47	75/18614	0.0154035808533321	0.0463572440083296	0.0228894744087701	EREG/HBEGF	2
BP	GO:0043536	positive regulation of blood vessel endothelial cell migration	2/47	75/18614	0.0154035808533321	0.0463572440083296	0.0228894744087701	HMOX1/VEGFC	2
BP	GO:0045669	positive regulation of osteoblast differentiation	2/47	75/18614	0.0154035808533321	0.0463572440083296	0.0228894744087701	IFITM1/BMP4	2
BP	GO:0002285	lymphocyte activation involved in immune response	3/47	208/18614	0.0155474011260587	0.0467265854738399	0.0230718414196601	MDK/CD40LG/TNFSF4	3
BP	GO:0071383	cellular response to steroid hormone stimulus	3/47	209/18614	0.0157463237809344	0.0472135821898175	0.0233123021956613	BMP4/IGF1R/MSTN	3
BP	GO:0002637	regulation of immunoglobulin production	2/47	76/18614	0.0157947017619209	0.0472135821898175	0.0233123021956613	CD40LG/TNFSF4	2
BP	GO:0050772	positive regulation of axonogenesis	2/47	76/18614	0.0157947017619209	0.0472135821898175	0.0233123021956613	SLIT2/PLXND1	2
BP	GO:0060337	type I interferon-mediated signaling pathway	2/47	76/18614	0.0157947017619209	0.0472135821898175	0.0233123021956613	IFITM1/WNT5A	2
BP	GO:0021536	diencephalon development	2/47	77/18614	0.0161900755319446	0.0482002920742704	0.0237995026566078	WNT5A/BMP4	2
BP	GO:0045685	regulation of glial cell differentiation	2/47	77/18614	0.0161900755319446	0.0482002920742704	0.0237995026566078	PTN/MDK	2
BP	GO:0071357	cellular response to type I interferon	2/47	77/18614	0.0161900755319446	0.0482002920742704	0.0237995026566078	IFITM1/WNT5A	2
BP	GO:0002200	somatic diversification of immune receptors	2/47	78/18614	0.0165896791590832	0.0492575594334709	0.0243215417613764	CD40LG/TNFSF4	2
BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	2/47	78/18614	0.0165896791590832	0.0492575594334709	0.0243215417613764	TLR1/CD14	2
BP	GO:0030100	regulation of endocytosis	3/47	214/18614	0.0167625864128044	0.049704322495799	0.0245421366630083	WNT5A/CD14/NTF3	3
BP	GO:0009612	response to mechanical stimulus	3/47	215/18614	0.0169701762784145	0.0502525941934333	0.0248128527346928	PTN/MDK/IGF1R	3
BP	GO:0042440	pigment metabolic process	2/47	80/18614	0.0174014843906908	0.0513239519645541	0.0253418491582139	WNT5A/HMOX1	2
BP	GO:0048844	artery morphogenesis	2/47	80/18614	0.0174014843906908	0.0513239519645541	0.0253418491582139	MDK/BMP4	2
BP	GO:0070227	lymphocyte apoptotic process	2/47	80/18614	0.0174014843906908	0.0513239519645541	0.0253418491582139	WNT5A/BMP4	2
BP	GO:0031016	pancreas development	2/47	81/18614	0.0178136404089871	0.0524000179361308	0.0258731703151431	WNT5A/BMP4	2
BP	GO:0043299	leukocyte degranulation	2/47	81/18614	0.0178136404089871	0.0524000179361308	0.0258731703151431	HMOX1/PTGDS	2
BP	GO:0042509	regulation of tyrosine phosphorylation of STAT protein	2/47	82/18614	0.0182299351115227	0.0533412236090128	0.0263379024972148	CRLF1/FGFR3	2
BP	GO:0061097	regulation of protein tyrosine kinase activity	2/47	82/18614	0.0182299351115227	0.0533412236090128	0.0263379024972148	EREG/HBEGF	2
BP	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	2/47	82/18614	0.0182299351115227	0.0533412236090128	0.0263379024972148	GNLY/CXCL1	2
BP	GO:1901184	regulation of ERBB signaling pathway	2/47	82/18614	0.0182299351115227	0.0533412236090128	0.0263379024972148	EREG/HBEGF	2
BP	GO:0010810	regulation of cell-substrate adhesion	3/47	222/18614	0.0184639014965685	0.0539545406529013	0.0266407355296968	TEK/MDK/CX3CL1	3
BP	GO:0001570	vasculogenesis	2/47	83/18614	0.0186503459148535	0.0542845153763476	0.0268036647147559	TGFBR3/ACKR3	2
BP	GO:0007492	endoderm development	2/47	83/18614	0.0186503459148535	0.0542845153763476	0.0268036647147559	INHBA/BMP4	2
BP	GO:0034340	response to type I interferon	2/47	83/18614	0.0186503459148535	0.0542845153763476	0.0268036647147559	IFITM1/WNT5A	2
BP	GO:0007411	axon guidance	3/47	225/18614	0.0191258615410911	0.055522651787047	0.0274150101968596	SLIT2/WNT5A/PLXND1	3
BP	GO:0097485	neuron projection guidance	3/47	225/18614	0.0191258615410911	0.055522651787047	0.0274150101968596	SLIT2/WNT5A/PLXND1	3
BP	GO:0007163	establishment or maintenance of cell polarity	3/47	226/18614	0.0193494256370966	0.0560981384635721	0.0276991640079132	TEK/WNT5A/IGF1R	3
BP	GO:0007260	tyrosine phosphorylation of STAT protein	2/47	86/18614	0.0199360503443386	0.0574230838916904	0.0283533725381805	CRLF1/FGFR3	2
BP	GO:0021766	hippocampus development	2/47	86/18614	0.0199360503443386	0.0574230838916904	0.0283533725381805	MDK/IGF1R	2
BP	GO:0021954	central nervous system neuron development	2/47	86/18614	0.0199360503443386	0.0574230838916904	0.0283533725381805	FGFR2/SLIT2	2
BP	GO:0032418	lysosome localization	2/47	86/18614	0.0199360503443386	0.0574230838916904	0.0283533725381805	HMOX1/PTGDS	2
BP	GO:1990849	vacuolar localization	2/47	86/18614	0.0199360503443386	0.0574230838916904	0.0283533725381805	HMOX1/PTGDS	2
BP	GO:0031669	cellular response to nutrient levels	3/47	230/18614	0.0202582510837791	0.0582753586371049	0.0287741939522167	IGF1R/HMOX1/PENK	3
BP	GO:0002088	lens development in camera-type eye	2/47	87/18614	0.0203727013801234	0.0583771456105735	0.0288244525552505	WNT5A/BMP4	2
BP	GO:0048678	response to axon injury	2/47	87/18614	0.0203727013801234	0.0583771456105735	0.0288244525552505	PTN/IGF1R	2
BP	GO:2000243	positive regulation of reproductive process	2/47	87/18614	0.0203727013801234	0.0583771456105735	0.0288244525552505	INHBA/WNT5A	2
BP	GO:0043270	positive regulation of monoatomic ion transport	3/47	231/18614	0.0204891022146771	0.0586348338572478	0.0289516893799123	GAL/CX3CL1/ADRB2	3
BP	GO:0033273	response to vitamin	2/47	88/18614	0.0208133568449784	0.059409259551066	0.0293340718420138	IGF1R/PENK	2
BP	GO:0050672	negative regulation of lymphocyte proliferation	2/47	88/18614	0.0208133568449784	0.059409259551066	0.0293340718420138	GAL/BMP4	2
BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	3/47	234/18614	0.021190409899546	0.06028995922382	0.0297689284227392	PTGER1/ADRB2/NPR3	3
BP	GO:0001558	regulation of cell growth	4/47	420/18614	0.021246978290599	0.06028995922382	0.0297689284227392	INHBA/SLIT2/WNT5A/HBEGF	4
BP	GO:0002312	B cell activation involved in immune response	2/47	89/18614	0.02125799465183	0.06028995922382	0.0297689284227392	CD40LG/TNFSF4	2
BP	GO:0032945	negative regulation of mononuclear cell proliferation	2/47	89/18614	0.02125799465183	0.06028995922382	0.0297689284227392	GAL/BMP4	2
BP	GO:0060191	regulation of lipase activity	2/47	89/18614	0.02125799465183	0.06028995922382	0.0297689284227392	FGFR2/FGFR3	2
BP	GO:0034764	positive regulation of transmembrane transport	3/47	235/18614	0.0214270984116793	0.0606143333101784	0.0299290922225379	GAL/CX3CL1/ADRB2	3
BP	GO:0060348	bone development	3/47	235/18614	0.0214270984116793	0.0606143333101784	0.0299290922225379	FGFR2/BMP4/FGFR3	3
BP	GO:0003002	regionalization	4/47	422/18614	0.0215774761289829	0.0609618745225729	0.0301006950832616	BMP1/FGFR2/WNT5A/BMP4	4
BP	GO:0033555	multicellular organismal response to stress	2/47	90/18614	0.0217065927954227	0.0611706145570755	0.0302037631102775	MDK/PENK	2
BP	GO:2000106	regulation of leukocyte apoptotic process	2/47	90/18614	0.0217065927954227	0.0611706145570755	0.0302037631102775	WNT5A/BMP4	2
BP	GO:0051403	stress-activated MAPK cascade	3/47	237/18614	0.0219048561661523	0.0616508975959686	0.0304409089234698	WNT5A/BMP4/IGF1R	3
BP	GO:0001843	neural tube closure	2/47	91/18614	0.0221591293520614	0.0620511649997673	0.0306385460067759	WNT5A/BMP4	2
BP	GO:0030901	midbrain development	2/47	91/18614	0.0221591293520614	0.0620511649997673	0.0306385460067759	FGFR2/WNT5A	2
BP	GO:0072091	regulation of stem cell proliferation	2/47	91/18614	0.0221591293520614	0.0620511649997673	0.0306385460067759	WNT5A/VEGFC	2
BP	GO:0097581	lamellipodium organization	2/47	91/18614	0.0221591293520614	0.0620511649997673	0.0306385460067759	SLIT2/MSTN	2
BP	GO:0007160	cell-matrix adhesion	3/47	239/18614	0.0223884564833158	0.0626141806951318	0.030916542113457	TEK/CX3CL1/VCAM1	3
